sr,lat,long,timestamp,p2p,elapsed_time,elapsed_distance
1,23.737054,90.369061,1000,0,0,0
2,23.737147,90.369222,1002,0.019,2,0.019
3,23.737235,90.369377,1004,0.019,4,0.038
4,23.737304,90.369511,1006,0.016,6,0.054
5,23.737383,90.369662,1008,0.018,8,0.072
6,23.73755,90.369951,1010,0.035,10,0.107
7,23.737618,90.370107,1012,0.018,12,0.125
8,23.737618,90.370107,1014,0.015,14,0.14
9,23.737672,90.370241,1016,0.018,16,0.158
10,23.737721,90.370412,1018,0.019,18,0.177
11,23.737766,90.370595,1020,0.021,20,0.198
12,23.737785,90.370799,1022,0.022,22,0.22
13,23.73782,90.371013,1024,0.017,24,0.237
14,23.737844,90.371179,1026,0.017,26,0.254
15,23.737874,90.371346,1028,0.016,28,0.27
16,23.737913,90.371501,1030,0.015,30,0.285
17,23.737947,90.371646,1032,0.018,32,0.303
18,23.737996,90.371818,1034,0.019,34,0.322
19,23.737996,90.371818,1036,0.019,36,0.341
20,23.737996,90.371818,1038,0.018,38,0.359
21,23.738055,90.371989,1040,0.019,40,0.378
22,23.73809,90.372172,1042,0.02,42,0.398
23,23.738139,90.372343,1044,0.022,44,0.42
24,23.738178,90.37252,1046,0.018,46,0.438
25,23.738237,90.372708,1048,0.019,48,0.457
26,23.738276,90.372917,1050,0.014,50,0.471
27,23.738325,90.373084,1052,0.014,52,0.485
28,23.738404,90.37325,1054,0.015,54,0.5
29,23.738438,90.373384,1056,0.013,56,0.513
30,23.738482,90.373518,1058,0.015,58,0.528
31,23.738536,90.373657,1060,0.033,60,0.561
32,23.738536,90.373657,1062,0.025,62,0.586
33,23.738536,90.373657,1064,0.015,64,0.601
34,23.738536,90.373657,1066,0.015,66,0.616
35,23.738561,90.373785,1068,0.017,68,0.633
36,23.7386,90.37393,1070,0.018,70,0.651
37,23.738854,90.374091,1072,0.016,72,0.667
38,23.738703,90.374273,1074,0.018,74,0.685
39,23.738742,90.374418,1076,0.015,76,0.7
40,23.738792,90.374552,1078,0.015,78,0.715
41,23.738846,90.374707,1080,0.013,80,0.728
42,23.738906,90.374867,1082,0.009,82,0.737
43,23.738984,90.375001,1084,0.019,84,0.756
44,23.739058,90.375162,1086,0.016,86,0.772
45,23.739058,90.375162,1088,0.018,88,0.79
46,23.739102,90.375301,1090,0.019,90,0.809
47,23.739176,90.375425,1092,0.015,92,0.824
48,23.739225,90.375543,1094,0.021,94,0.845
49,23.739254,90.375629,1096,0.017,96,0.862
50,23.739402,90.375537,1098,0.038,98,0.9
51,23.739529,90.375468,1100,0.018,100,0.918
52,23.739529,90.375468,1102,0.019,102,0.937
53,23.739529,90.375468,1104,0.02,104,0.957
54,23.739672,90.375387,1106,0.02,106,0.977
55,23.739819,90.375291,1108,0.014,108,0.991
56,23.739946,90.375237,1110,0.015,110,1.006
57,23.740123,90.375157,1112,0.016,112,1.022
58,23.740262,90.375088,1114,0.016,114,1.038
59,23.740561,90.374906,1116,0.018,116,1.056
60,23.740709,90.374831,1118,0.03,118,1.086
61,23.740709,90.374831,1120,0.016,120,1.102
62,23.740856,90.37474,1122,0.013,122,1.115
63,23.741023,90.37467,1124,0.019,124,1.134
64,23.741175,90.374563,1126,0.018,126,1.152
65,23.74127,90.374472,1128,0.017,128,1.169
66,23.74127,90.374472,1130,0.012,130,1.181
67,23.741392,90.374407,1132,0.02,132,1.201
68,23.74153,90.374348,1134,0.023,134,1.224
69,23.741662,90.374278,1136,0.043,136,1.267
70,23.74181,90.374214,1138,0.016,138,1.283
71,23.74181,90.374214,1140,0.016,140,1.299
72,23.74205,90.37408,1142,0.028,142,1.327
73,23.742173,90.374005,1144,0.016,144,1.343
74,23.742266,90.37393,1146,0.008,146,1.351
75,23.742423,90.373855,1148,0.011,148,1.362
76,23.742566,90.373774,1150,0.03,150,1.392
77,23.742693,90.373688,1152,0.028,152,1.42
78,23.742792,90.373635,1154,0.02,154,1.44
79,23.742792,90.373635,1156,0.025,156,1.465
80,23.742944,90.373528,1158,0.042,158,1.507
81,23.74313,90.37342,1160,0.06,160,1.567
82,23.743466,90.373202,1162,0.027,162,1.594
83,23.743466,90.373202,1164,0.024,164,1.618
84,23.743595,90.373122,1166,0.029,166,1.647
85,23.743712,90.373031,1168,0.026,168,1.673
86,23.743928,90.372891,1170,0.023,170,1.696
87,23.744051,90.372811,1172,0.019,172,1.715
88,23.74411,90.372773,1174,0.025,174,1.74
89,23.74411,90.372773,1176,0.017,176,1.757
90,23.744183,90.372703,1178,0.02,178,1.777
91,23.744044,90.372454,1180,0.022,180,1.799
92,23.743896,90.372228,1182,0.025,182,1.824
93,23.743798,90.372068,1184,0.048,184,1.872
94,23.743798,90.372068,1186,0.024,186,1.896
95,23.74369,90.371853,1188,0.023,188,1.919
96,23.74354,90.371469,1190,0.027,190,1.946
97,23.74357,90.37088,1192,0.032,192,1.978
98,23.74357,90.370611,1194,0.032,194,2.01
99,23.74358,90.370375,1196,0.036,196,2.046
100,23.743639,90.370096,1198,0.058,198,2.104
101,23.743717,90.36986,1200,0.064,200,2.168
102,23.743778,90.369646,1202,0.057,202,2.225
103,23.743825,90.369464,1204,0.025,204,2.25
104,23.743825,90.369464,1206,0.04,206,2.29
105,23.743884,90.369228,1208,0.026,208,2.316
106,23.743845,90.369067,1210,0.046,210,2.362
107,23.743747,90.368906,1212,0.025,212,2.387
108,23.743815,90.368702,1214,,,
109,23.743823,90.368458,1216,,,
110,23.743823,90.368458,1218,,,
111,23.743823,90.368458,1220,,,
112,23.743901,90.367997,1222,,,
113,23.743921,90.367761,1224,,,
114,23.743882,90.367535,1226,,,
115,23.743774,90.367299,1228,,,
116,23.743656,90.36701,1230,,,
117,23.743518,90.366731,1232,,,
118,23.743273,90.366495,1234,,,
119,23.742755,90.366527,1236,,,
120,23.742755,90.366527,1238,,,
121,23.742178,90.366527,1240,,,
122,23.742178,90.366527,1242,,,
123,23.741665,90.366527,1244,,,
124,23.741439,90.366527,1246,,,
125,23.741125,90.366709,1248,,,
126,23.741125,90.366709,1250,,,
127,23.740929,90.366849,1252,,,
128,23.740524,90.366935,1254,,,
129,23.740298,90.366956,1256,,,
130,23.740298,90.366956,1258,,,
131,23.740298,90.366956,1260,,,
