,point,time,Haversian,Manhatten,Eucledian,elapsed_time,elapsed_distance
0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2.0,0.019,0.0,0.0,2.0,0.019
2,2.0,2.0,0.019,0.0,0.0,4.0,0.038
3,3.0,2.0,0.016,0.0,0.0,6.0,0.054
4,4.0,2.0,0.018,0.0,0.0,8.0,0.072
5,5.0,2.0,0.035,0.0,0.0,10.0,0.107
6,6.0,2.0,0.018,0.0,0.0,12.0,0.125
7,7.0,2.0,0.015,0.0,0.0,14.0,0.14
8,8.0,2.0,0.018,0.0,0.0,16.0,0.158
9,9.0,2.0,0.019,0.0,0.0,18.0,0.177
10,10.0,2.0,0.021,0.0,0.0,20.0,0.19799999999999998
11,11.0,2.0,0.022,0.0,0.0,22.0,0.21999999999999997
12,12.0,2.0,0.017,0.0,0.0,24.0,0.237
13,13.0,2.0,0.017,0.0,0.0,26.0,0.254
14,14.0,2.0,0.016,0.0,0.0,28.0,0.27
15,15.0,2.0,0.015,0.0,0.0,30.0,0.28500000000000003
16,16.0,2.0,0.018,0.0,0.0,32.0,0.30300000000000005
17,17.0,2.0,0.019,0.0,0.0,34.0,0.32200000000000006
18,18.0,2.0,0.019,0.0,0.0,36.0,0.3410000000000001
19,19.0,2.0,0.018,0.0,0.0,38.0,0.3590000000000001
20,20.0,2.0,0.019,0.0,0.0,40.0,0.3780000000000001
21,21.0,2.0,0.02,0.0,0.0,42.0,0.39800000000000013
22,22.0,2.0,0.022,0.0,0.0,44.0,0.42000000000000015
23,23.0,2.0,0.018,0.0,0.0,46.0,0.43800000000000017
24,24.0,2.0,0.019,0.0,0.0,48.0,0.4570000000000002
25,25.0,2.0,0.014000000000000002,0.0,0.0,50.0,0.4710000000000002
26,26.0,2.0,0.014000000000000002,0.0,0.0,52.0,0.4850000000000002
27,27.0,2.0,0.015,0.0,0.0,54.0,0.5000000000000002
28,28.0,2.0,0.013000000000000001,0.0,0.0,56.0,0.5130000000000002
29,29.0,2.0,0.015,0.0,0.0,58.0,0.5280000000000002
30,30.0,2.0,0.033,0.0,0.0,60.0,0.5610000000000003
31,31.0,2.0,0.025,0.0,0.0,62.0,0.5860000000000003
32,32.0,2.0,0.015,0.0,0.0,64.0,0.6010000000000003
33,33.0,2.0,0.015,0.0,0.0,66.0,0.6160000000000003
34,34.0,2.0,0.017,0.0,0.0,68.0,0.6330000000000003
35,35.0,2.0,0.018,0.0,0.0,70.0,0.6510000000000004
36,36.0,2.0,0.016,0.0,0.0,72.0,0.6670000000000004
37,37.0,2.0,0.018,0.0,0.0,74.0,0.6850000000000004
38,38.0,2.0,0.015,0.0,0.0,76.0,0.7000000000000004
39,39.0,2.0,0.015,0.0,0.0,78.0,0.7150000000000004
40,40.0,2.0,0.013000000000000001,0.0,0.0,80.0,0.7280000000000004
41,41.0,2.0,0.009,0.0,0.0,82.0,0.7370000000000004
42,42.0,2.0,0.019,0.0,0.0,84.0,0.7560000000000004
43,43.0,2.0,0.016,0.0,0.0,86.0,0.7720000000000005
44,44.0,2.0,0.018,0.0,0.0,88.0,0.7900000000000005
45,45.0,2.0,0.019,0.0,0.0,90.0,0.8090000000000005
46,46.0,2.0,0.015,0.0,0.0,92.0,0.8240000000000005
47,47.0,2.0,0.021,0.0,0.0,94.0,0.8450000000000005
48,48.0,2.0,0.017,0.0,0.0,96.0,0.8620000000000005
49,49.0,2.0,0.038,0.0,0.0,98.0,0.9000000000000006
50,50.0,2.0,0.018,0.0,0.0,100.0,0.9180000000000006
51,51.0,2.0,0.019,0.0,0.0,102.0,0.9370000000000006
52,52.0,2.0,0.02,0.0,0.0,104.0,0.9570000000000006
53,53.0,2.0,0.02,0.0,0.0,106.0,0.9770000000000006
54,54.0,2.0,0.014000000000000002,0.0,0.0,108.0,0.9910000000000007
55,55.0,2.0,0.015,0.0,0.0,110.0,1.0060000000000007
56,56.0,2.0,0.016,0.0,0.0,112.0,1.0220000000000007
57,57.0,2.0,0.016,0.0,0.0,114.0,1.0380000000000007
58,58.0,2.0,0.018,0.0,0.0,116.0,1.0560000000000007
59,59.0,2.0,0.03,0.0,0.0,118.0,1.0860000000000007
60,60.0,2.0,0.016,0.0,0.0,120.0,1.1020000000000008
61,61.0,2.0,0.013000000000000001,0.0,0.0,122.0,1.1150000000000007
62,62.0,2.0,0.019,0.0,0.0,124.0,1.1340000000000006
63,63.0,2.0,0.018,0.0,0.0,126.0,1.1520000000000006
64,64.0,2.0,0.017,0.0,0.0,128.0,1.1690000000000005
65,65.0,2.0,0.012,0.0,0.0,130.0,1.1810000000000005
66,66.0,2.0,0.02,0.0,0.0,132.0,1.2010000000000005
67,67.0,2.0,0.023,0.0,0.0,134.0,1.2240000000000004
68,68.0,2.0,0.043,0.001,0.0,136.0,1.2670000000000003
69,69.0,2.0,0.016,0.0,0.0,138.0,1.2830000000000004
70,70.0,2.0,0.016,0.0,0.0,140.0,1.2990000000000004
71,71.0,2.0,0.028000000000000004,0.0,0.0,142.0,1.3270000000000004
72,72.0,2.0,0.016,0.0,0.0,144.0,1.3430000000000004
73,73.0,2.0,0.008,0.0,0.0,146.0,1.3510000000000004
74,74.0,2.0,0.011,0.0,0.0,148.0,1.3620000000000003
75,75.0,2.0,0.03,0.0,0.0,150.0,1.3920000000000003
76,76.0,2.0,0.028000000000000004,0.0,0.0,152.0,1.4200000000000004
77,77.0,2.0,0.02,0.0,0.0,154.0,1.4400000000000004
78,78.0,2.0,0.025,0.0,0.0,156.0,1.4650000000000003
79,79.0,2.0,0.042,0.001,0.0,158.0,1.5070000000000003
80,80.0,2.0,0.06,0.001,0.001,160.0,1.5670000000000004
81,81.0,2.0,0.027000000000000003,0.0,0.0,162.0,1.5940000000000003
82,82.0,2.0,0.024,0.0,0.0,164.0,1.6180000000000003
83,83.0,2.0,0.029000000000000005,0.0,0.0,166.0,1.6470000000000002
84,84.0,2.0,0.026000000000000002,0.0,0.0,168.0,1.6730000000000003
85,85.0,2.0,0.023,0.0,0.0,170.0,1.6960000000000002
86,86.0,2.0,0.019,0.0,0.0,172.0,1.715
87,87.0,2.0,0.025,0.0,0.0,174.0,1.74
88,88.0,2.0,0.017,0.0,0.0,176.0,1.757
89,89.0,2.0,0.02,0.0,0.0,178.0,1.777
90,90.0,2.0,0.022,0.0,0.0,180.0,1.799
91,91.0,2.0,0.025,0.0,0.0,182.0,1.8239999999999998
92,92.0,2.0,0.048,0.001,0.0,184.0,1.8719999999999999
93,93.0,2.0,0.024,0.0,0.0,186.0,1.896
94,94.0,2.0,0.023,0.0,0.0,188.0,1.9189999999999998
95,95.0,2.0,0.027000000000000003,0.0,0.0,190.0,1.9459999999999997
96,96.0,2.0,0.032,0.0,0.0,192.0,1.9779999999999998
97,97.0,2.0,0.032,0.0,0.0,194.0,2.01
98,98.0,2.0,0.036,0.0,0.0,196.0,2.046
99,99.0,2.0,0.05800000000000001,0.001,0.001,198.0,2.1039999999999996
100,100.0,2.0,0.064,0.001,0.001,200.0,2.1679999999999997
101,101.0,2.0,0.057,0.001,0.001,202.0,2.2249999999999996
102,102.0,2.0,0.025,0.0,0.0,204.0,2.2499999999999996
103,103.0,2.0,0.04,0.0,0.0,206.0,2.2899999999999996
104,104.0,2.0,0.026000000000000002,0.0,0.0,208.0,2.3159999999999994
105,105.0,2.0,0.046,0.0,0.0,210.0,2.361999999999999
106,106.0,2.0,0.025,0.0,0.0,212.0,2.386999999999999
