sr,lat,long,timestamp,p2p,elapsed_time,elapsed_distance
7,23.737618,90.370107,1012,0.018,12,0.125
18,23.737996,90.371818,1034,0.019,34,0.322
25,23.738237,90.372708,1048,0.019,48,0.457
31,23.738536,90.373657,1060,0.033,60,0.561
40,23.738792,90.374552,1078,0.015,78,0.715
43,23.738984,90.375001,1084,0.019,84,0.756
45,23.739058,90.375162,1088,0.018,88,0.79
51,23.739529,90.375468,1100,0.018,100,0.918
60,23.740709,90.374831,1118,0.03,118,1.086
65,23.74127,90.374472,1128,0.017,128,1.169
70,23.74181,90.374214,1138,0.016,138,1.283
78,23.742792,90.373635,1154,0.02,154,1.44
82,23.743466,90.373202,1162,0.027,162,1.594
88,23.74411,90.372773,1174,0.025,174,1.74
94,23.743798,90.372068,1186,0.024,186,1.896
103,23.743825,90.369464,1204,0.025,204,2.25
109,23.743823,90.368458,1216,,,
119,23.742755,90.366527,1236,,,
121,23.742178,90.366527,1240,,,
125,23.741125,90.366709,1248,,,
129,23.740298,90.366956,1256,,,
